future_name,date_id,close,settle,sec_name
T00.CFE,2013-01-04,nan,nan,
T00.CFE,2013-01-07,nan,nan,
T00.CFE,2013-01-08,nan,nan,
T00.CFE,2013-01-09,nan,nan,
T00.CFE,2013-01-10,nan,nan,
T00.CFE,2013-01-11,nan,nan,
T00.CFE,2013-01-14,nan,nan,
T00.CFE,2013-01-15,nan,nan,
T00.CFE,2013-01-16,nan,nan,
T00.CFE,2013-01-17,nan,nan,
T00.CFE,2013-01-18,nan,nan,
T00.CFE,2013-01-21,nan,nan,
T00.CFE,2013-01-22,nan,nan,
T00.CFE,2013-01-23,nan,nan,
T00.CFE,2013-01-24,nan,nan,
T00.CFE,2013-01-25,nan,nan,
T00.CFE,2013-01-28,nan,nan,
T00.CFE,2013-01-29,nan,nan,
T00.CFE,2013-01-30,nan,nan,
T00.CFE,2013-01-31,nan,nan,
T00.CFE,2013-02-01,nan,nan,
T00.CFE,2013-02-04,nan,nan,
T00.CFE,2013-02-05,nan,nan,
T00.CFE,2013-02-06,nan,nan,
T00.CFE,2013-02-07,nan,nan,
T00.CFE,2013-02-08,nan,nan,
T00.CFE,2013-02-18,nan,nan,
T00.CFE,2013-02-19,nan,nan,
T00.CFE,2013-02-20,nan,nan,
T00.CFE,2013-02-21,nan,nan,
T00.CFE,2013-02-22,nan,nan,
T00.CFE,2013-02-25,nan,nan,
T00.CFE,2013-02-26,nan,nan,
T00.CFE,2013-02-27,nan,nan,
T00.CFE,2013-02-28,nan,nan,
T00.CFE,2013-03-01,nan,nan,
T00.CFE,2013-03-04,nan,nan,
T00.CFE,2013-03-05,nan,nan,
T00.CFE,2013-03-06,nan,nan,
T00.CFE,2013-03-07,nan,nan,
T00.CFE,2013-03-08,nan,nan,
T00.CFE,2013-03-11,nan,nan,
T00.CFE,2013-03-12,nan,nan,
T00.CFE,2013-03-13,nan,nan,
T00.CFE,2013-03-14,nan,nan,
T00.CFE,2013-03-15,nan,nan,
T00.CFE,2013-03-18,nan,nan,
T00.CFE,2013-03-19,nan,nan,
T00.CFE,2013-03-20,nan,nan,
T00.CFE,2013-03-21,nan,nan,
T00.CFE,2013-03-22,nan,nan,
T00.CFE,2013-03-25,nan,nan,
T00.CFE,2013-03-26,nan,nan,
T00.CFE,2013-03-27,nan,nan,
T00.CFE,2013-03-28,nan,nan,
T00.CFE,2013-03-29,nan,nan,
T00.CFE,2013-04-01,nan,nan,
T00.CFE,2013-04-02,nan,nan,
T00.CFE,2013-04-03,nan,nan,
T00.CFE,2013-04-08,nan,nan,
T00.CFE,2013-04-09,nan,nan,
T00.CFE,2013-04-10,nan,nan,
T00.CFE,2013-04-11,nan,nan,
T00.CFE,2013-04-12,nan,nan,
T00.CFE,2013-04-15,nan,nan,
T00.CFE,2013-04-16,nan,nan,
T00.CFE,2013-04-17,nan,nan,
T00.CFE,2013-04-18,nan,nan,
T00.CFE,2013-04-19,nan,nan,
T00.CFE,2013-04-22,nan,nan,
T00.CFE,2013-04-23,nan,nan,
T00.CFE,2013-04-24,nan,nan,
T00.CFE,2013-04-25,nan,nan,
T00.CFE,2013-04-26,nan,nan,
T00.CFE,2013-05-02,nan,nan,
T00.CFE,2013-05-03,nan,nan,
T00.CFE,2013-05-06,nan,nan,
T00.CFE,2013-05-07,nan,nan,
T00.CFE,2013-05-08,nan,nan,
T00.CFE,2013-05-09,nan,nan,
T00.CFE,2013-05-10,nan,nan,
T00.CFE,2013-05-13,nan,nan,
T00.CFE,2013-05-14,nan,nan,
T00.CFE,2013-05-15,nan,nan,
T00.CFE,2013-05-16,nan,nan,
T00.CFE,2013-05-17,nan,nan,
T00.CFE,2013-05-20,nan,nan,
T00.CFE,2013-05-21,nan,nan,
T00.CFE,2013-05-22,nan,nan,
