sec_name,LASTDELIVERY_DATE,bond_cd,ptmyear,anal_precupn,nxcupn,couponrate,interestfrequency
T1509.CFE,20150916,050004.IB,9.66120218579235,2015-05-15 00:00:00,2015-11-15 00:00:00,4.11,2
T1509.CFE,20150916,080002.IB,7.4520547945205475,2015-08-28 00:00:00,2016-02-28 00:00:00,4.16,2
T1509.CFE,20150916,080023.IB,8.197260273972603,2015-05-27 00:00:00,2015-11-27 00:00:00,3.62,2
T1509.CFE,20150916,090011.IB,8.734972677595628,2015-06-11 00:00:00,2015-12-11 00:00:00,3.69,2
T1509.CFE,20150916,120009.IB,6.685792349726776,2015-05-24 00:00:00,2015-11-24 00:00:00,3.36,2
T1509.CFE,20150916,120015.IB,6.934426229508197,2015-08-23 00:00:00,2016-02-23 00:00:00,3.39,2
T1509.CFE,20150916,120021.IB,7.241095890410959,2015-06-13 00:00:00,2015-12-13 00:00:00,3.55,2
T1509.CFE,20150916,130005.IB,7.432876712328767,2015-08-21 00:00:00,2016-02-21 00:00:00,3.52,2
T1509.CFE,20150916,130011.IB,7.683060109289618,2015-05-23 00:00:00,2015-11-23 00:00:00,3.38,2
T1509.CFE,20150916,130018.IB,7.9316939890710385,2015-08-22 00:00:00,2016-02-22 00:00:00,4.08,2
T1509.CFE,20150916,140012.IB,8.756830601092895,2015-06-19 00:00:00,2015-12-19 00:00:00,4.0,2
T1509.CFE,20150916,140029.IB,9.254794520547945,2015-06-18 00:00:00,2015-12-18 00:00:00,3.77,2
T1509.CFE,20150916,150005.IB,9.562841530054644,1899-12-30 00:00:00,2015-10-09 00:00:00,3.64,2
T1509.CFE,20150916,150007.IB,6.581967213114754,1899-12-30 00:00:00,2016-04-16 00:00:00,3.54,1
T1509.CFE,20150916,150014.IB,6.811475409836065,1899-12-30 00:00:00,2016-07-09 00:00:00,3.3,1
T1509.CFE,20150916,150016.IB,9.830601092896174,1899-12-30 00:00:00,2016-01-16 00:00:00,3.51,2
T1512.CFE,20151216,050004.IB,9.412568306010929,2015-11-15 00:00:00,2016-05-15 00:00:00,4.11,2
T1512.CFE,20151216,080002.IB,7.2027397260273975,2015-08-28 00:00:00,2016-02-28 00:00:00,4.16,2
T1512.CFE,20151216,080023.IB,7.948087431693989,2015-11-27 00:00:00,2016-05-27 00:00:00,3.62,2
T1512.CFE,20151216,120015.IB,6.685792349726776,2015-08-23 00:00:00,2016-02-23 00:00:00,3.39,2
T1512.CFE,20151216,130005.IB,7.183561643835616,2015-08-21 00:00:00,2016-02-21 00:00:00,3.52,2
T1512.CFE,20151216,130011.IB,7.434426229508197,2015-11-23 00:00:00,2016-05-23 00:00:00,3.38,2
T1512.CFE,20151216,130018.IB,7.683060109289618,2015-08-22 00:00:00,2016-02-22 00:00:00,4.08,2
T1512.CFE,20151216,140005.IB,8.259562841530055,2015-09-20 00:00:00,2016-03-20 00:00:00,4.42,2
T1512.CFE,20151216,140021.IB,8.756830601092895,2015-09-18 00:00:00,2016-03-18 00:00:00,4.13,2
T1512.CFE,20151216,150005.IB,9.314207650273223,2015-10-09 00:00:00,2016-04-09 00:00:00,3.64,2
T1512.CFE,20151216,150014.IB,6.562841530054644,1899-12-30 00:00:00,2016-07-09 00:00:00,3.3,1
T1512.CFE,20151216,150016.IB,9.581967213114755,1899-12-30 00:00:00,2016-01-16 00:00:00,3.51,2
T1512.CFE,20151216,150023.IB,9.830601092896174,1899-12-30 00:00:00,2016-04-15 00:00:00,2.99,2
T1512.CFE,20151216,150026.IB,6.8497267759562845,1899-12-30 00:00:00,2016-10-22 00:00:00,3.05,1
T1603.CFE,20160316,050004.IB,9.163934426229508,2015-11-15 00:00:00,2016-05-15 00:00:00,4.11,2
T1603.CFE,20160316,080002.IB,6.953551912568306,2016-02-28 00:00:00,2016-08-28 00:00:00,4.16,2
T1603.CFE,20160316,080023.IB,7.699453551912568,2015-11-27 00:00:00,2016-05-27 00:00:00,3.62,2
T1603.CFE,20160316,090011.IB,8.237704918032787,2015-12-11 00:00:00,2016-06-11 00:00:00,3.69,2
T1603.CFE,20160316,120021.IB,6.743169398907104,2015-12-13 00:00:00,2016-06-13 00:00:00,3.55,2
T1603.CFE,20160316,130005.IB,6.934426229508197,2016-02-21 00:00:00,2016-08-21 00:00:00,3.52,2
T1603.CFE,20160316,130011.IB,7.185792349726776,2015-11-23 00:00:00,2016-05-23 00:00:00,3.38,2
T1603.CFE,20160316,130018.IB,7.434426229508197,2016-02-22 00:00:00,2016-08-22 00:00:00,4.08,2
T1603.CFE,20160316,140012.IB,8.259562841530055,2015-12-19 00:00:00,2016-06-19 00:00:00,4.0,2
T1603.CFE,20160316,140029.IB,8.756830601092895,2015-12-18 00:00:00,2016-06-18 00:00:00,3.77,2
T1603.CFE,20160316,150005.IB,9.065573770491802,2015-10-09 00:00:00,2016-04-09 00:00:00,3.64,2
T1603.CFE,20160316,150016.IB,9.333333333333334,2016-01-16 00:00:00,2016-07-16 00:00:00,3.51,2
T1603.CFE,20160316,150023.IB,9.581967213114755,1899-12-30 00:00:00,2016-04-15 00:00:00,2.99,2
T1603.CFE,20160316,150026.IB,6.601092896174864,1899-12-30 00:00:00,2016-10-22 00:00:00,3.05,1
T1603.CFE,20160316,160004.IB,9.868852459016393,1899-12-30 00:00:00,2016-07-28 00:00:00,2.85,2
T1606.CFE,20160616,050004.IB,8.912328767123288,2016-05-15 00:00:00,2016-11-15 00:00:00,4.11,2
T1606.CFE,20160616,080002.IB,6.702185792349727,2016-02-28 00:00:00,2016-08-28 00:00:00,4.16,2
T1606.CFE,20160616,080023.IB,7.448087431693989,2016-05-27 00:00:00,2016-11-27 00:00:00,3.62,2
T1606.CFE,20160616,130005.IB,6.683060109289618,2016-02-21 00:00:00,2016-08-21 00:00:00,3.52,2
