"","date","国债到期收益率.1年","国债到期收益率.2年","国债到期收益率.5年","国债到期收益率.10年","X10_5","X1D","X5D","X10D","X20D","X30D","X40D","NUM","定期存款利率.1年.整存整取.","短期贷款利率.6个月至1年.含.","贷款市场报价利率.LPR..1年","银行间质押式回购","R.10M","R.5M","quan70","quan30","change","position","return","cumret"
"1",2010-01-04,1.778,2.0957,2.9481,3.7171,76.9,0.68,0.31,-6.08,-6.98,-12.68,-5.6,491,2.25,5.31,NA,1.12,1.15,1.15,1.21,1.177,-1.05999999999999,-1,1.05999999999999,1.05999999999999
"2",2010-01-05,1.7519,2.089,2.9662,3.742,77.58,-6.13,-4.49,-5.58,-8.83,-17.68,-3.22,492,2.25,5.31,NA,1.12,1.15,1.14,1.21,1.17,0.679999999999993,1,0.679999999999993,1.73999999999998
"3",2010-01-06,1.8036,2.1475,3.0065,3.721,71.45,0.49,-0.65,-0.87,-3.54,-5.09,1.65,493,2.25,5.31,NA,1.12,1.14,1.13,1.21,1.17,-6.13,1,-6.13,-4.39000000000001
"4",2010-01-07,1.7627,2.1301,3.0169,3.7363,71.94,2.93,0.14,-0.59,-2.43,-5.39,-0.85,494,2.25,5.31,NA,1.08,1.14,1.12,1.203,1.17,0.489999999999995,1,0.489999999999995,-3.90000000000002
"5",2010-01-08,1.7229,2.0911,2.988,3.7367,74.87,2.34,-6,-5.09,-7.35,-8.15,-1.72,495,2.25,5.31,NA,1.06,1.13,1.1,1.2,1.167,2.93000000000001,1,2.93000000000001,-0.970000000000013
"6",2010-01-11,1.8076,2.1241,2.9745,3.7466,77.21,-4.12,-6.39,-9.37,-11.26,-10.8,-4.02,496,2.25,5.31,NA,1.05,1.12,1.09,1.2,1.16,2.33999999999999,1,2.33999999999999,1.36999999999998
"7",2010-01-12,1.8712,2.1805,3.006,3.7369,73.09,-2.29,-1.09,-3.55,-3.62,-4.65,-0.52,497,2.25,5.31,NA,1.04,1.11,1.07,1.2,1.16,-4.11999999999999,1,-4.11999999999999,-2.75000000000001
"8",2010-01-13,1.8638,2.2058,3.0594,3.7674,70.8,1.28,-0.22,-1.94,-4.93,-3.91,2.68,498,2.25,5.31,NA,1.09,1.1,1.07,1.2,1.16,-2.29000000000001,1,-2.29000000000001,-5.04000000000002
"9",2010-01-14,1.8154,2.1709,3.0452,3.766,72.08,-3.21,-0.73,-2.77,-3.33,-0.62,0.81,499,2.25,5.31,NA,1.05,1.09,1.06,1.193,1.16,1.28,1,1.28,-3.76000000000002
"10",2010-01-15,1.8915,2.2261,3.0647,3.7534,68.87,1.95,0.91,1.91,-1.14,3.86,8.09,500,2.25,5.31,NA,1.03,1.08,1.05,1.19,1.16,-3.20999999999999,1,-3.20999999999999,-6.97000000000001
"11",2010-01-18,1.9146,2.2229,3.0376,3.7458,70.82,1.18,-2.98,-0.9,-6.6,0.48,6.78,501,2.25,5.31,NA,1.03,1.07,1.05,1.19,1.157,1.94999999999999,1,1.94999999999999,-5.02000000000002
"12",2010-01-19,1.8539,2.1813,3.0229,3.7429,72,-1.42,-2.46,-3.25,-12.1,2.36,4.22,502,2.25,5.31,NA,1.03,1.06,1.05,1.19,1.15,1.18000000000001,1,1.18000000000001,-3.84000000000002
"13",2010-01-20,1.8724,2.196,3.0289,3.7347,70.58,0.77,-1.72,-2.67,-4.22,2.52,3.99,503,2.25,5.31,NA,1.03,1.05,1.04,1.19,1.147,-1.42,1,-1.42,-5.26000000000002
"14",2010-01-21,1.8028,2.1522,3.0171,3.7306,71.35,-1.57,-2.04,-1.84,-4.8,-0.26,1.22,504,2.25,5.31,NA,1.03,1.05,1.03,1.19,1.137,0.769999999999996,1,0.769999999999996,-4.49000000000002
"15",2010-01-22,1.9019,2.2084,3.0144,3.7122,69.78,-1.94,1,-2.26,-3.06,3.37,2.67,505,2.25,5.31,NA,1.05,1.04,1.03,1.183,1.127,-1.56999999999999,1,-1.56999999999999,-6.06000000000002
"16",2010-01-25,1.8999,2.2168,3.0258,3.7042,67.84,1.7,2.08,-1.89,-1.43,5.35,4.72,506,2.25,5.31,NA,1.19,1.06,1.07,1.18,1.114,-1.94,1,-1.94,-8.00000000000001
"17",2010-01-26,1.8965,2.2019,3.0067,3.7021,69.54,-0.68,-0.79,-0.07,-1.1,3.03,2.54,507,2.25,5.31,NA,1.21,1.07,1.1,1.173,1.1,1.7,1,1.7,-6.30000000000001
"18",2010-01-27,1.919,2.2185,3.0142,3.7028,68.86,0.45,-0.95,-2.99,-1.97,4.62,4.76,508,2.25,5.31,NA,1.32,1.1,1.16,1.17,1.1,-0.680000000000007,0,0,-6.30000000000001
"19",2010-01-28,1.9027,2.2041,3.0046,3.6977,69.31,1.47,0.2,-0.56,2.15,3.58,0.34,509,2.25,5.31,NA,1.36,1.13,1.23,1.17,1.1,0.450000000000003,0,0,-6.30000000000001
"20",2010-01-29,1.8881,2.1767,2.9689,3.6767,70.78,-0.86,-3.26,-3.05,1.95,6.18,-1.54,510,2.25,5.31,NA,1.36,1.16,1.29,1.17,1.1,1.47,-1,-1.47,-7.77000000000001
"21",2010-02-01,1.8635,2.1541,2.9429,3.6421,69.92,-1.17,-3.97,-5.7,1.38,7.68,1.65,511,2.25,5.31,NA,1.36,1.2,1.32,1.17,1.1,-0.859999999999999,-1,0.859999999999999,-6.91000000000001
"22",2010-02-02,1.9339,2.195,2.9471,3.6346,68.75,-0.84,0.72,-8.85,5.61,7.47,2.35,512,2.25,5.31,NA,1.37,1.23,1.35,1.17,1.1,-1.17,-1,1.17,-5.74000000000001
"23",2010-02-03,1.8878,2.1662,2.9139,3.593,67.91,1.6,-2.04,-1.55,5.19,6.66,7.26,513,2.25,5.31,NA,1.36,1.26,1.36,1.17,1.1,-0.840000000000003,-1,0.840000000000003,-4.90000000000001
"24",2010-02-04,1.906,2.1695,2.9264,3.6215,69.51,-1.99,-0.76,-2.96,1.58,3.06,4.25,514,2.25,5.31,NA,1.36,1.3,1.36,1.17,1.1,1.60000000000001,-1,-1.60000000000001,-6.50000000000001
"25",2010-02-05,1.9712,2.2039,2.916,3.5912,67.52,-1.57,0.21,-0.8,5.63,4.93,3.92,515,2.25,5.31,NA,1.36,1.33,1.36,1.17,1.1,-1.99000000000001,-1,1.99000000000001,-4.51000000000001
"26",2010-02-08,1.9153,2.1891,2.9148,3.5743,65.95,3.52,-1.73,0.46,7.24,6.61,6.97,516,2.25,5.31,NA,1.36,1.34,1.36,1.17,1.1,-1.56999999999999,-1,1.56999999999999,-2.94000000000001
"27",2010-02-09,1.8769,2.1259,2.8462,3.5409,69.47,-3.6,-9.57,-1.03,3.1,2.61,3.2,517,2.25,5.31,NA,1.41,1.36,1.37,1.17,1.1,3.52,-1,-3.52,-6.46000000000001
"28",2010-02-10,1.8751,2.1718,2.905,3.5637,65.87,2.88,0.49,1.02,7.61,7.75,6.08,518,2.25,5.31,NA,1.51,1.38,1.4,1.17,1.1,-3.59999999999999,-1,3.59999999999999,-2.86000000000001
"29",2010-02-11,1.8668,2.1263,2.8768,3.5643,68.75,-1.02,-2.2,2.71,4.14,0.9,2.95,519,2.25,5.31,NA,2.5,1.5,1.63,1.17,1.1,2.88,-1,-2.88,-5.74000000000001
"30",2010-02-12,1.8622,2.1382,2.877,3.5543,67.73,-3.51,-1.01,5,9.23,1.51,3.82,520,2.25,5.31,NA,2.07,1.57,1.77,1.188,1.1,-1.02,-1,1.02,-4.72000000000001
"31",2010-02-20,1.9725,2.2421,2.9188,3.561,64.22,-4.32,2.19,7.08,13.38,7.35,5.6,521,2.25,5.31,NA,1.96,1.63,1.89,1.248,1.1,-3.51000000000001,-1,3.51000000000001,-1.21000000000001
"32",2010-02-21,NA,2.3456,2.9748,3.5738,59.9,6.46,8.54,14.46,16.32,11.2,7.2,522,2.25,5.31,NA,1.47,1.64,1.9,1.299,1.1,-4.32,-1,4.32,3.10999999999999
"33",2010-02-22,1.9524,2.2099,2.9284,3.592,66.36,0.19,0.53,6.74,8.21,8.81,4.77,523,2.25,5.31,NA,1.43,1.64,1.89,1.329,1.1,6.46,-1,-6.46,-3.35000000000001
"34",2010-02-23,1.9397,2.2044,2.9413,3.6068,66.55,0.17,4.91,4.54,6.02,7.21,2.26,524,2.25,5.31,NA,1.44,1.65,1.67,1.353,1.1,0.189999999999998,-1,-0.189999999999998,-3.54000000000001
"35",2010-02-24,1.9399,2.1876,2.907,3.5742,66.72,-0.31,6.01,6.43,5.73,4.72,3.08,525,2.25,5.31,NA,1.44,1.66,1.55,1.36,1.1,0.170000000000002,-1,-0.170000000000002,-3.71000000000001
"36",2010-02-25,1.9556,2.2032,2.9096,3.5737,66.41,2.03,4.89,6.78,6.15,6.51,4.37,526,2.25,5.31,NA,1.46,1.67,1.45,1.36,1.1,-0.310000000000002,-1,0.310000000000002,-3.40000000000001
"37",2010-02-26,1.9138,2.1461,2.8408,3.5252,68.44,-1.55,5.92,4.13,3.64,4.23,1.9,527,2.25,5.31,NA,1.44,1.67,1.44,1.36,1.1,2.03,-1,-2.03,-5.43000000000001
"38",2010-03-01,1.9379,2.1731,2.8178,3.4867,66.89,4.57,6.21,6.59,6.73,5.06,7.13,528,2.25,5.31,NA,1.43,1.66,1.44,1.363,1.1,-1.55,-1,1.55,-3.88000000000001
"39",2010-03-02,1.8933,2.1094,2.757,3.4716,71.46,1.27,-0.37,1.43,-1.81,0.24,0.14,529,2.25,5.31,NA,1.43,1.56,1.44,1.379,1.1,4.56999999999999,-1,-4.56999999999999,-8.45
