sec_name,bond_cd,cf
T1509.CFE,050004.IB,1.0925
T1509.CFE,080002.IB,1.0766
T1509.CFE,080023.IB,1.0446
T1509.CFE,090011.IB,1.0527
T1509.CFE,120009.IB,1.0216
T1509.CFE,120015.IB,1.0242
T1509.CFE,120021.IB,1.0356
T1509.CFE,130005.IB,1.0343
T1509.CFE,130011.IB,1.0258
T1509.CFE,130018.IB,1.0756
T1509.CFE,140012.IB,1.0764
T1509.CFE,140029.IB,1.0618
T1509.CFE,150005.IB,1.0529
T1509.CFE,150007.IB,1.0317
T1509.CFE,150014.IB,1.0182
T1509.CFE,150016.IB,1.0431
T1512.CFE,050004.IB,1.0905
T1512.CFE,080002.IB,1.0743
T1512.CFE,080023.IB,1.0434
T1512.CFE,120015.IB,1.0234
T1512.CFE,130005.IB,1.0333
T1512.CFE,130011.IB,1.0251
T1512.CFE,130018.IB,1.0734
T1512.CFE,140005.IB,1.1031
T1512.CFE,140021.IB,1.0864
T1512.CFE,150005.IB,1.0517
T1512.CFE,150014.IB,1.0176
T1512.CFE,150016.IB,1.0422
T1512.CFE,150023.IB,0.9991
T1512.CFE,150026.IB,1.003
T1603.CFE,050004.IB,1.0883
T1603.CFE,080002.IB,1.072
T1603.CFE,080023.IB,1.0422
T1603.CFE,090011.IB,1.0501
T1603.CFE,120021.IB,1.0333
T1603.CFE,130005.IB,1.0322
T1603.CFE,130011.IB,1.0243
T1603.CFE,130018.IB,1.0713
T1603.CFE,140012.IB,1.0726
T1603.CFE,140029.IB,1.0588
T1603.CFE,150005.IB,1.0505
T1603.CFE,150016.IB,1.0412
T1603.CFE,150023.IB,0.9992
T1603.CFE,150026.IB,1.0028
T1603.CFE,160004.IB,0.9873
T1606.CFE,050004.IB,1.0863
T1606.CFE,080002.IB,1.0696
T1606.CFE,080023.IB,1.0409
T1606.CFE,130005.IB,1.0312
T1606.CFE,130011.IB,1.0236
T1606.CFE,130018.IB,1.0691
T1606.CFE,140005.IB,1.0975
T1606.CFE,140021.IB,1.082
T1606.CFE,150005.IB,1.0493
T1606.CFE,150016.IB,1.0403
T1606.CFE,150023.IB,0.9992
T1606.CFE,160004.IB,0.9876
T1606.CFE,160006.IB,0.9849
T1606.CFE,160010.IB,0.9915
T1609.CFE,050004.IB,1.0841
T1609.CFE,060009.IB,1.0588
T1609.CFE,080023.IB,1.0397
T1609.CFE,090011.IB,1.0474
