sec_name,code,wind_code,delivery_month,change_limit,target_margin,contract_issue_date,last_trade_date,last_delivery_month
5年期国债期货1312合约,TF1312,TF1312.CFE,201312,2,5,2013/9/6,2013/12/13,2013/12/18
5年期国债期货1403合约,TF1403,TF1403.CFE,201403,2,5,2013/9/6,2014/3/14,2014/3/19
5年期国债期货1406合约,TF1406,TF1406.CFE,201406,2,5,2013/9/6,2014/6/13,2014/6/18
5年期国债期货1409合约,TF1409,TF1409.CFE,201409,2,5,2013/12/16,2014/9/12,2014/9/17
5年期国债期货1412合约,TF1412,TF1412.CFE,201412,1,3,2014/3/17,2014/12/12,2014/12/17
5年期国债期货1503合约,TF1503,TF1503.CFE,201503,1,3,2014/6/16,2015/3/13,2015/3/18
5年期国债期货1506合约,TF1506,TF1506.CFE,201506,1,3,2014/9/15,2015/6/12,2015/6/17
5年期国债期货1509合约,TF1509,TF1509.CFE,201509,1,3,2014/12/15,2015/9/11,2015/9/16
5年期国债期货1512合约,TF1512,TF1512.CFE,201512,1,2,2015/3/16,2015/12/11,2015/12/16
5年期国债期货1603合约,TF1603,TF1603.CFE,201603,1,2,2015/6/15,2016/3/11,2016/3/16
5年期国债期货1606合约,TF1606,TF1606.CFE,201606,1,2,2015/9/14,2016/6/13,2016/6/16
5年期国债期货1609合约,TF1609,TF1609.CFE,201609,1,2,2015/12/14,2016/9/9,2016/9/14
5年期国债期货1612合约,TF1612,TF1612.CFE,201612,1,2,2016/3/14,2016/12/9,2016/12/14
5年期国债期货1703合约,TF1703,TF1703.CFE,201703,1,2,2016/6/14,2017/3/10,2017/3/15
5年期国债期货1706合约,TF1706,TF1706.CFE,201706,1,2,2016/9/12,2017/6/9,2017/6/14
5年期国债期货1709合约,TF1709,TF1709.CFE,201709,1,2,2016/12/12,2017/9/8,2017/9/13
5年期国债期货1712合约,TF1712,TF1712.CFE,201712,1,2,2017/3/13,2017/12/8,2017/12/13
5年期国债期货1803合约,TF1803,TF1803.CFE,201803,1,2,2017/6/12,2018/3/9,2018/3/14
5年期国债期货1806合约,TF1806,TF1806.CFE,201806,1,2,2017/9/11,2018/6/8,2018/6/13
5年期国债期货1809合约,TF1809,TF1809.CFE,201809,1,2,2017/12/11,2018/9/14,2018/9/19
5年期国债期货1812合约,TF1812,TF1812.CFE,201812,1,2,2018/3/12,2018/12/14,2018/12/19
5年期国债期货1903合约,TF1903,TF1903.CFE,201903,1,2,2018/6/11,2019/3/8,2019/3/13
5年期国债期货1906合约,TF1906,TF1906.CFE,201906,1.2,2,2018/9/17,2019/6/14,2019/6/19
5年期国债期货1909合约,TF1909,TF1909.CFE,201909,1.2,2,2018/12/17,2019/9/16,2019/9/19
5年期国债期货1912合约,TF1912,TF1912.CFE,201912,1.2,2,2019/3/11,2019/12/13,2019/12/18
5年期国债期货2003合约,TF2003,TF2003.CFE,202003,1.2,2,2019/6/17,2020/3/13,2020/3/18
5年期国债期货2006合约,TF2006,TF2006.CFE,202006,1.2,2,2019/9/17,2020/6/12,2020/6/17
5年期国债期货2009合约,TF2009,TF2009.CFE,202009,1.2,2,2019/12/16,2020/9/11,2020/9/16
5年期国债期货2012合约,TF2012,TF2012.CFE,202012,1.2,1.2,2020/3/16,2020/12/11,2020/12/16
5年期国债期货2103合约,TF2103,TF2103.CFE,202103,1.2,1.2,2020/6/15,2021/3/12,2021/3/17
5年期国债期货2106合约,TF2106,TF2106.CFE,202106,2.4,1.2,2020/9/14,2021/6/11,2021/6/16
