sec_name,code,wind_code,delivery_month,change_limit,target_margin,contract_issue_date,last_trade_date,last_delivery_month
2年期国债期货1812合约,TS1812,TS1812.CFE,201812,1,1,2018/8/17,2018/12/14,2018/12/19
2年期国债期货1903合约,TS1903,TS1903.CFE,201903,1,1,2018/8/17,2019/3/8,2019/3/13
2年期国债期货1906合约,TS1906,TS1906.CFE,201906,0.5,1,2018/8/17,2019/6/14,2019/6/19
2年期国债期货1909合约,TS1909,TS1909.CFE,201909,0.5,1,2018/12/17,2019/9/16,2019/9/19
2年期国债期货1912合约,TS1912,TS1912.CFE,201912,0.5,1,2019/3/11,2019/12/13,2019/12/18
2年期国债期货2003合约,TS2003,TS2003.CFE,202003,0.5,1,2019/6/17,2020/3/13,2020/3/18
2年期国债期货2006合约,TS2006,TS2006.CFE,202006,0.5,1,2019/9/17,2020/6/12,2020/6/17
2年期国债期货2009合约,TS2009,TS2009.CFE,202009,0.5,1,2019/12/16,2020/9/11,2020/9/16
2年期国债期货2012合约,TS2012,TS2012.CFE,202012,0.5,0.5,2020/3/16,2020/12/11,2020/12/16
2年期国债期货2103合约,TS2103,TS2103.CFE,202103,0.5,0.5,2020/6/15,2021/3/12,2021/3/17
2年期国债期货2106合约,TS2106,TS2106.CFE,202106,1,0.5,2020/9/14,2021/6/11,2021/6/16
