date_id,T_name,T_irret,TF_name,TF_irret,FutYHret,X10_5
2015/8/18,T1512.CFE,0.035733333,TF1512.CFE,0.033966667,17.67,26.92
2015/8/19,T1512.CFE,0.035833333,TF1512.CFE,0.034266667,15.67,28.14
2015/8/20,T1512.CFE,0.035733333,TF1512.CFE,0.033966667,17.67,28.56
2015/8/21,T1512.CFE,0.0356,TF1512.CFE,0.033766667,18.33,24.07
2015/8/24,T1512.CFE,0.035366667,TF1512.CFE,0.033233333,21.33,27.11
2015/8/25,T1512.CFE,0.0353,TF1512.CFE,0.0332,21,26.58
2015/8/26,T1512.CFE,0.035066667,TF1512.CFE,0.032733333,23.33,26.68
2015/8/27,T1512.CFE,0.034566667,TF1512.CFE,0.032066667,25,25.11
2015/8/28,T1512.CFE,0.034666667,TF1512.CFE,0.032266667,24,25.16
2015/8/31,T1512.CFE,0.034066667,TF1512.CFE,0.0317,23.67,23.96
2015/9/1,T1512.CFE,0.033866667,TF1512.CFE,0.031666667,22,13.87
2015/9/2,T1512.CFE,0.034266667,TF1512.CFE,0.0322,20.67,20.62
2015/9/7,T1512.CFE,0.034466667,TF1512.CFE,0.032566667,19,15.37
2015/9/8,T1512.CFE,0.034566667,TF1512.CFE,0.033,15.67,19.26
2015/9/9,T1512.CFE,0.034666667,TF1512.CFE,0.0331,15.67,19.53
2015/9/10,T1512.CFE,0.034533333,TF1512.CFE,0.0328,17.33,19.75
2015/9/11,T1512.CFE,0.034666667,TF1512.CFE,0.033,16.67,17.49
2015/9/14,T1512.CFE,0.034466667,TF1512.CFE,0.032766667,17,14.69
2015/9/15,T1512.CFE,0.034233333,TF1512.CFE,0.0324,18.33,16.68
2015/9/16,T1512.CFE,0.034366667,TF1512.CFE,0.0327,16.67,13.84
2015/9/17,T1512.CFE,0.034666667,TF1512.CFE,0.0331,15.67,15.99
2015/9/18,T1512.CFE,0.034466667,TF1512.CFE,0.032833333,16.33,17.4
2015/9/21,T1512.CFE,0.034466667,TF1512.CFE,0.032833333,16.33,16.02
2015/9/22,T1512.CFE,0.034733333,TF1512.CFE,0.0332,15.33,17.74
2015/9/23,T1512.CFE,0.034566667,TF1512.CFE,0.033,15.67,17.85
2015/9/24,T1512.CFE,0.034466667,TF1512.CFE,0.0328,16.67,18
2015/9/25,T1512.CFE,0.0342,TF1512.CFE,0.0325,17,17.6
2015/9/28,T1512.CFE,0.033833333,TF1512.CFE,0.0322,16.33,17.69
