sec_name,code,wind_code,delivery_month,change_limit,target_margin,contract_issue_date,last_trade_date,last_delivery_month
10年期国债期货1509合约,T1509,T1509.CFE,201509,2,4,2015/3/20,2015/9/11,2015/9/16
10年期国债期货1512合约,T1512,T1512.CFE,201512,2,4,2015/3/20,2015/12/11,2015/12/16
10年期国债期货1603合约,T1603,T1603.CFE,201603,2,4,2015/3/20,2016/3/11,2016/3/16
10年期国债期货1606合约,T1606,T1606.CFE,201606,2,4,2015/9/14,2016/6/13,2016/6/16
10年期国债期货1609合约,T1609,T1609.CFE,201609,2,4,2015/12/14,2016/9/9,2016/9/14
10年期国债期货1612合约,T1612,T1612.CFE,201612,2,4,2016/3/14,2016/12/9,2016/12/14
10年期国债期货1703合约,T1703,T1703.CFE,201703,2,4,2016/6/14,2017/3/10,2017/3/15
10年期国债期货1706合约,T1706,T1706.CFE,201706,2,4,2016/9/12,2017/6/9,2017/6/14
10年期国债期货1709合约,T1709,T1709.CFE,201709,2,4,2016/12/12,2017/9/8,2017/9/13
10年期国债期货1712合约,T1712,T1712.CFE,201712,2,4,2017/3/13,2017/12/8,2017/12/13
10年期国债期货1803合约,T1803,T1803.CFE,201803,2,4,2017/6/12,2018/3/9,2018/3/14
10年期国债期货1806合约,T1806,T1806.CFE,201806,2,3,2017/9/11,2018/6/8,2018/6/13
10年期国债期货1809合约,T1809,T1809.CFE,201809,2,3,2017/12/11,2018/9/14,2018/9/19
10年期国债期货1812合约,T1812,T1812.CFE,201812,2,3,2018/3/12,2018/12/14,2018/12/19
10年期国债期货1903合约,T1903,T1903.CFE,201903,2,3,2018/6/11,2019/3/8,2019/3/13
10年期国债期货1906合约,T1906,T1906.CFE,201906,2,3,2018/9/17,2019/6/14,2019/6/19
10年期国债期货1909合约,T1909,T1909.CFE,201909,2,3,2018/12/17,2019/9/16,2019/9/19
10年期国债期货1912合约,T1912,T1912.CFE,201912,2,3,2019/3/11,2019/12/13,2019/12/18
10年期国债期货2003合约,T2003,T2003.CFE,202003,2,3,2019/6/17,2020/3/13,2020/3/18
10年期国债期货2006合约,T2006,T2006.CFE,202006,2,3,2019/9/17,2020/6/12,2020/6/17
10年期国债期货2009合约,T2009,T2009.CFE,202009,2,2,2019/12/16,2020/9/11,2020/9/16
10年期国债期货2012合约,T2012,T2012.CFE,202012,2,2,2020/3/16,2020/12/11,2020/12/16
10年期国债期货2103合约,T2103,T2103.CFE,202103,2,2,2020/6/15,2021/3/12,2021/3/17
10年期国债期货2106合约,T2106,T2106.CFE,202106,4,2,2020/9/14,2021/6/11,2021/6/16
