wind_cd,date_id,ctd_cd,irr,ctd_ib,irr_ib,ctd_sh,irr_sh,ctd_sz,irr_sz
T1509.CFE,2015-03-20 00:00:00,140029.IB,5.0703,140029.IB,5.0703,010504.SH,7.9845,,nan
T1509.CFE,2015-03-23 00:00:00,140029.IB,4.9848,140029.IB,4.9848,010504.SH,7.8113,,nan
T1509.CFE,2015-03-24 00:00:00,140029.IB,5.0582,140029.IB,5.0582,010504.SH,7.2216,,nan
T1509.CFE,2015-03-25 00:00:00,140029.IB,5.0007,140029.IB,5.0007,019311.SH,3.7121,,nan
T1509.CFE,2015-03-26 00:00:00,140029.IB,4.4321,140029.IB,4.4321,019311.SH,3.2263,,nan
T1509.CFE,2015-03-27 00:00:00,130011.IB,6.6378,130011.IB,6.6378,010504.SH,6.2905,,nan
T1509.CFE,2015-03-30 00:00:00,140029.IB,5.5038,140029.IB,5.5038,010504.SH,6.002,,nan
T1509.CFE,2015-03-31 00:00:00,140029.IB,5.3659,140029.IB,5.3659,019429.SH,3.9091,,nan
T1509.CFE,2015-04-01 00:00:00,140012.IB,5.0631,140012.IB,5.0631,019429.SH,4.932,,nan
T1509.CFE,2015-04-02 00:00:00,140012.IB,8.4769,140012.IB,8.4769,019429.SH,6.7166,,nan
T1509.CFE,2015-04-03 00:00:00,019429.SH,5.3364,140012.IB,4.9667,019429.SH,5.3364,101311.SZ,7.5619
T1509.CFE,2015-04-07 00:00:00,140012.IB,5.2664,140012.IB,5.2664,010504.SH,5.857,101311.SZ,7.3941
T1509.CFE,2015-04-08 00:00:00,140029.IB,4.0006,140029.IB,4.0006,010504.SH,5.3258,,nan
T1509.CFE,2015-04-09 00:00:00,140029.IB,4.7867,140029.IB,4.7867,010504.SH,4.2005,,nan
T1509.CFE,2015-04-10 00:00:00,140029.IB,4.8155,140029.IB,4.8155,019429.SH,3.9108,101311.SZ,0.2964
T1509.CFE,2015-04-13 00:00:00,140029.IB,5.7609,140029.IB,5.7609,010504.SH,5.172,,nan
T1509.CFE,2015-04-14 00:00:00,140012.IB,4.7084,140012.IB,4.7084,010504.SH,5.7587,101311.SZ,3.5676
T1509.CFE,2015-04-15 00:00:00,150005.IB,6.952,150005.IB,6.952,019505.SH,6.6421,101311.SZ,4.9937
T1509.CFE,2015-04-16 00:00:00,140029.IB,5.317,140029.IB,5.317,019318.SH,9.0041,101311.SZ,5.0654
T1509.CFE,2015-04-17 00:00:00,140029.IB,5.5087,140029.IB,5.5087,019221.SH,2.0691,101311.SZ,5.1019
T1509.CFE,2015-04-20 00:00:00,140012.IB,6.6264,140012.IB,6.6264,010504.SH,8.0918,101311.SZ,4.9361
T1509.CFE,2015-04-21 00:00:00,150005.IB,5.3864,150005.IB,5.3864,019318.SH,8.5424,101311.SZ,6.4337
T1509.CFE,2015-04-22 00:00:00,140012.IB,7.3545,140012.IB,7.3545,019429.SH,5.4401,101311.SZ,3.57
T1509.CFE,2015-04-23 00:00:00,130011.IB,6.7254,130011.IB,6.7254,010504.SH,7.39,,nan
T1509.CFE,2015-04-24 00:00:00,130011.IB,5.787,130011.IB,5.787,010504.SH,6.6982,101311.SZ,2.1586
T1509.CFE,2015-04-27 00:00:00,130011.IB,8.1406,130011.IB,8.1406,010504.SH,8.9372,,nan
T1509.CFE,2015-04-28 00:00:00,130011.IB,8.0233,130011.IB,8.0233,010504.SH,9.1062,,nan
T1509.CFE,2015-04-29 00:00:00,130011.IB,6.7668,130011.IB,6.7668,019318.SH,9.4062,101311.SZ,3.9632
T1509.CFE,2015-04-30 00:00:00,150005.IB,6.2112,150005.IB,6.2112,019507.SH,2.9114,101311.SZ,5.3861
T1509.CFE,2015-05-04 00:00:00,019429.SH,5.9335,130011.IB,5.5917,019429.SH,5.9335,101311.SZ,6.686
T1509.CFE,2015-05-05 00:00:00,150005.IB,5.8336,150005.IB,5.8336,019505.SH,4.6197,101311.SZ,6.8721
T1509.CFE,2015-05-06 00:00:00,140012.IB,5.8696,140012.IB,5.8696,010504.SH,9.2903,101311.SZ,3.9555
T1509.CFE,2015-05-07 00:00:00,130018.IB,5.4808,130018.IB,5.4808,010504.SH,9.33,101311.SZ,2.5554
T1509.CFE,2015-05-08 00:00:00,130011.IB,7.8235,130011.IB,7.8235,010504.SH,9.3936,101311.SZ,3.7479
T1509.CFE,2015-05-11 00:00:00,010504.SH,7.6841,150005.IB,4.3853,010504.SH,7.6841,101311.SZ,3.3097
T1509.CFE,2015-05-12 00:00:00,130011.IB,4.5345,130011.IB,4.5345,010504.SH,6.5388,101311.SZ,2.1245
T1509.CFE,2015-05-13 00:00:00,140012.IB,4.6464,140012.IB,4.6464,010504.SH,7.1558,101311.SZ,0.8162
T1509.CFE,2015-05-14 00:00:00,010504.SH,6.4203,130011.IB,5.8775,010504.SH,6.4203,101311.SZ,2.5119
T1509.CFE,2015-05-15 00:00:00,019429.SH,5.4504,140012.IB,4.3175,019429.SH,5.4504,,nan
T1509.CFE,2015-05-18 00:00:00,130018.IB,4.3171,130018.IB,4.3171,019429.SH,4.0156,,nan
T1509.CFE,2015-05-19 00:00:00,150005.IB,3.8157,150005.IB,3.8157,019318.SH,5.0548,,nan
T1509.CFE,2015-05-20 00:00:00,130011.IB,4.6001,130011.IB,4.6001,010504.SH,5.9257,,nan
T1509.CFE,2015-05-21 00:00:00,140029.IB,3.9153,140029.IB,3.9153,019505.SH,3.4703,101311.SZ,3.9524
T1509.CFE,2015-05-22 00:00:00,140029.IB,3.9872,140029.IB,3.9872,019311.SH,2.1337,101311.SZ,1.8159
T1509.CFE,2015-05-25 00:00:00,140029.IB,4.0951,140029.IB,4.0951,019311.SH,1.6983,101311.SZ,1.5027
T1509.CFE,2015-05-26 00:00:00,130018.IB,1.6421,130018.IB,1.6421,019505.SH,-0.2921,101311.SZ,-1.6199
T1509.CFE,2015-05-27 00:00:00,130011.IB,6.6648,130011.IB,6.6648,019311.SH,-0.1959,101311.SZ,-2.4624
T1509.CFE,2015-05-28 00:00:00,140029.IB,2.4047,140029.IB,2.4047,019311.SH,-1.5783,,nan
T1509.CFE,2015-05-29 00:00:00,140029.IB,2.776,140029.IB,2.776,019311.SH,-2.4111,101311.SZ,-3.517
T1509.CFE,2015-06-01 00:00:00,140029.IB,2.2453,140029.IB,2.2453,019311.SH,-5.0995,101311.SZ,-6.4633
T1509.CFE,2015-06-02 00:00:00,150005.IB,1.6932,150005.IB,1.6932,019311.SH,-2.9493,101507.SZ,-30.9577
T1509.CFE,2015-06-03 00:00:00,140029.IB,2.7173,140029.IB,2.7173,019311.SH,-0.8353,101311.SZ,-3.6852
T1509.CFE,2015-06-04 00:00:00,140029.IB,2.416,140029.IB,2.416,019311.SH,-0.7014,101311.SZ,-3.8998
T1509.CFE,2015-06-05 00:00:00,140029.IB,3.2953,140029.IB,3.2953,019311.SH,0.7097,101311.SZ,-3.9548
T1509.CFE,2015-06-08 00:00:00,019505.SH,4.8738,150005.IB,4.067,019505.SH,4.8738,101507.SZ,-30.204
T1509.CFE,2015-06-09 00:00:00,150005.IB,3.4727,150005.IB,3.4727,019311.SH,0.9549,101507.SZ,-30.8071
T1509.CFE,2015-06-10 00:00:00,140029.IB,2.7594,140029.IB,2.7594,019505.SH,1.848,101507.SZ,-32.669
T1509.CFE,2015-06-11 00:00:00,150005.IB,2.735,150005.IB,2.735,019311.SH,-0.9645,101311.SZ,-4.4681
T1509.CFE,2015-06-12 00:00:00,140012.IB,1.3235,140012.IB,1.3235,019505.SH,0.7008,,nan
T1509.CFE,2015-06-15 00:00:00,140029.IB,1.523,140029.IB,1.523,019429.SH,-0.1288,,nan
T1509.CFE,2015-06-16 00:00:00,140029.IB,3.2894,140029.IB,3.2894,019429.SH,2.9337,101311.SZ,-6.4054
T1509.CFE,2015-06-17 00:00:00,150005.IB,2.222,150005.IB,2.222,019311.SH,-0.8864,101311.SZ,-10.889
T1509.CFE,2015-06-18 00:00:00,150005.IB,2.273,150005.IB,2.273,019311.SH,1.2232,,nan
T1509.CFE,2015-06-19 00:00:00,140012.IB,2.3614,140012.IB,2.3614,019311.SH,-1.9163,,nan
T1509.CFE,2015-06-23 00:00:00,150005.IB,2.3058,150005.IB,2.3058,010504.SH,-0.0946,101311.SZ,-6.7558
T1509.CFE,2015-06-24 00:00:00,150005.IB,1.8572,150005.IB,1.8572,019311.SH,-2.4724,,nan
T1509.CFE,2015-06-25 00:00:00,150005.IB,1.5979,150005.IB,1.5979,019311.SH,-3.0963,,nan
T1509.CFE,2015-06-26 00:00:00,140029.IB,1.8524,140029.IB,1.8524,019311.SH,-3.3429,,nan
T1509.CFE,2015-06-29 00:00:00,140012.IB,0.5253,140012.IB,0.5253,019311.SH,-4.8609,,nan
T1509.CFE,2015-06-30 00:00:00,140029.IB,1.9568,140029.IB,1.9568,019505.SH,-9.773,,nan
T1509.CFE,2015-07-01 00:00:00,140029.IB,1.6971,140029.IB,1.6971,019311.SH,-4.0095,,nan
T1509.CFE,2015-07-02 00:00:00,140029.IB,1.6851,140029.IB,1.6851,019311.SH,-4.1872,,nan
T1509.CFE,2015-07-03 00:00:00,140029.IB,2.3815,140029.IB,2.3815,019311.SH,-1.3038,,nan
T1509.CFE,2015-07-06 00:00:00,150005.IB,6.9718,150005.IB,6.9718,019429.SH,3.6939,,nan
T1509.CFE,2015-07-07 00:00:00,140029.IB,2.9883,140029.IB,2.9883,019311.SH,0.3038,,nan
T1509.CFE,2015-07-08 00:00:00,150005.IB,0.3644,150005.IB,0.3644,019311.SH,0.1782,,nan
T1509.CFE,2015-07-09 00:00:00,019311.SH,2.7259,140029.IB,2.4089,019311.SH,2.7259,101311.SZ,-11.3048
T1509.CFE,2015-07-10 00:00:00,150005.IB,2.319,150005.IB,2.319,019311.SH,0.8625,,nan
T1509.CFE,2015-07-13 00:00:00,150005.IB,2.7088,150005.IB,2.7088,019311.SH,-0.2561,,nan
T1509.CFE,2015-07-14 00:00:00,150005.IB,2.6171,150005.IB,2.6171,019311.SH,-0.749,,nan
T1509.CFE,2015-07-15 00:00:00,150005.IB,3.0597,150005.IB,3.0597,019429.SH,-1.1201,,nan
T1509.CFE,2015-07-16 00:00:00,140029.IB,2.6736,140029.IB,2.6736,019429.SH,2.4111,,nan
T1509.CFE,2015-07-17 00:00:00,019505.SH,3.3774,140029.IB,2.4189,019505.SH,3.3774,,nan
T1509.CFE,2015-07-20 00:00:00,140029.IB,2.2887,140029.IB,2.2887,019429.SH,1.8101,,nan
T1509.CFE,2015-07-21 00:00:00,140029.IB,1.528,140029.IB,1.528,019311.SH,-3.4893,,nan
T1509.CFE,2015-07-22 00:00:00,150016.IB,5.8849,150016.IB,5.8849,019311.SH,-4.3974,101311.SZ,-9.379
T1509.CFE,2015-07-23 00:00:00,140029.IB,1.5358,140029.IB,1.5358,019311.SH,-3.0374,,nan
T1509.CFE,2015-07-24 00:00:00,090011.IB,3.6834,090011.IB,3.6834,019311.SH,-3.8442,101505.SZ,3.4156
T1509.CFE,2015-07-27 00:00:00,150016.IB,2.311,150016.IB,2.311,019429.SH,0.4164,101505.SZ,10.9417
T1509.CFE,2015-07-28 00:00:00,140029.IB,1.3619,140029.IB,1.3619,019429.SH,-1.6677,,nan
T1509.CFE,2015-07-29 00:00:00,019429.SH,2.796,150016.IB,0.9046,019429.SH,2.796,,nan
T1509.CFE,2015-07-30 00:00:00,140029.IB,0.2583,140029.IB,0.2583,019429.SH,-0.1102,101505.SZ,25.8962
T1509.CFE,2015-07-31 00:00:00,140029.IB,0.1837,140029.IB,0.1837,019311.SH,-7.3159,101505.SZ,-0.0955
T1509.CFE,2015-08-03 00:00:00,150005.IB,-0.9261,150005.IB,-0.9261,019429.SH,-1.0692,101505.SZ,4.2898
T1509.CFE,2015-08-04 00:00:00,019505.SH,0.3101,150016.IB,-0.6556,019505.SH,0.3101,101311.SZ,-21.0947
T1509.CFE,2015-08-05 00:00:00,150005.IB,-1.7425,150005.IB,-1.7425,019311.SH,-9.2167,,nan
T1509.CFE,2015-08-06 00:00:00,140029.IB,0.2936,140029.IB,0.2936,019505.SH,-0.0864,,nan
T1509.CFE,2015-08-07 00:00:00,150005.IB,-0.9133,150005.IB,-0.9133,019311.SH,-10.9804,,nan
T1509.CFE,2015-08-10 00:00:00,140029.IB,-1.9452,140029.IB,-1.9452,019505.SH,-3.0642,,nan
T1509.CFE,2015-08-11 00:00:00,150005.IB,-1.9704,150005.IB,-1.9704,019311.SH,-14.5473,,nan
T1509.CFE,2015-08-12 00:00:00,150016.IB,-0.073,150016.IB,-0.073,019311.SH,-13.6805,,nan
T1509.CFE,2015-08-13 00:00:00,150005.IB,-1.2181,150005.IB,-1.2181,019311.SH,-13.7914,,nan
T1509.CFE,2015-08-14 00:00:00,150005.IB,-2.2403,150005.IB,-2.2403,019311.SH,-14.6289,,nan
T1509.CFE,2015-08-17 00:00:00,150005.IB,-4.333,150005.IB,-4.333,019311.SH,-18.9744,,nan
T1509.CFE,2015-08-18 00:00:00,019505.SH,-0.6651,140029.IB,-1.0218,019505.SH,-0.6651,,nan
T1509.CFE,2015-08-19 00:00:00,150016.IB,-0.6975,150016.IB,-0.6975,019311.SH,-16.6654,,nan
T1509.CFE,2015-08-20 00:00:00,140029.IB,-1.4782,140029.IB,-1.4782,019311.SH,-17.7772,,nan
T1509.CFE,2015-08-21 00:00:00,140029.IB,-1.0794,140029.IB,-1.0794,019311.SH,-19.8923,101505.SZ,-15.534
T1509.CFE,2015-08-24 00:00:00,140029.IB,0.1957,140029.IB,0.1957,019311.SH,-18.8146,,nan
T1509.CFE,2015-08-25 00:00:00,140029.IB,0.8401,140029.IB,0.8401,019429.SH,-0.6181,,nan
T1509.CFE,2015-08-26 00:00:00,140029.IB,7.3879,140029.IB,7.3879,019429.SH,3.1871,,nan
T1509.CFE,2015-08-27 00:00:00,101505.SZ,6.2041,130011.IB,5.0853,019311.SH,-4.9842,101505.SZ,6.2041
T1509.CFE,2015-08-28 00:00:00,010504.SH,9.396,150005.IB,0.4801,010504.SH,9.396,101516.SZ,2.6151
