DATE_ID,R_6M,R_1Y,R_2Y,R_3Y,R_4Y,R_5Y,R_6Y,R_7Y,R_8Y,R_9Y,R_10Y,R_15Y,R_20Y,R_30Y,R_10Y_5Y,R_10Y_2Y,FutYHret10_5,FutYHret10_2
2020/1/2,2.2782,2.363,2.542,2.7096,2.8138,2.9039,2.9913,3.055,3.09,3.1165,3.15,3.4347,3.4646,3.7161,24.61,60.8,22,50
2020/1/3,2.3152,2.3648,2.5731,2.7504,2.8522,2.9371,3.0182,3.0744,3.1021,3.1223,3.1498,3.4351,3.4692,3.7288,21.27,57.67,20.67,47
2020/1/6,2.2905,2.3635,2.5391,2.708,2.8197,2.9163,3.012,3.0722,3.0944,3.1092,3.1312,3.4172,3.4605,3.7019,21.49,59.21,21.67,45.33
2020/1/7,2.263,2.3469,2.5178,2.6858,2.8106,2.9142,3.0067,3.0676,3.0952,3.1147,3.1416,3.4271,3.4625,3.7164,22.74,62.38,22,47.67
2020/1/8,2.2069,2.3314,2.4872,2.6542,2.7873,2.8971,2.9913,3.0537,3.0837,3.1053,3.1345,3.4196,3.455,3.706,23.74,64.73,22.33,48.33
2020/1/9,2.2122,2.3344,2.5107,2.672,2.7939,2.8966,2.9912,3.0532,3.0809,3.1005,3.1278,3.4131,3.4541,3.7047,23.12,61.71,24,49.67
2020/1/10,2.2106,2.3229,2.4966,2.654,2.7716,2.8735,2.9734,3.0351,3.057,3.0715,3.0937,3.3995,3.4588,3.6928,22.02,59.71,23.33,51.67
2020/1/13,2.2411,2.2983,2.5018,2.6749,2.7791,2.8743,2.9807,3.0425,3.0591,3.0695,3.0869,3.3933,3.4327,3.6607,21.26,58.51,23.33,51.33
2020/1/14,2.2098,2.2939,2.4989,2.6792,2.7947,2.894,2.994,3.0526,3.0709,3.0827,3.1014,3.3735,3.4107,3.6692,20.74,60.25,23,49
2020/1/15,2.1912,2.2904,2.5167,2.6893,2.7863,2.8765,2.9803,3.0427,3.0618,3.0742,3.0939,3.3774,3.4159,3.6713,21.74,57.72,23.33,49
